Time(s),Lick,Rinse,ArtSal,Quinine,NaCl,Sucrose,MSG,Citric
0,0,0,0,0,0,0,0,0
66.443,1,0,0,0,0,0,0,0
66.453,0,0,0,0,0,0,0,0
66.555,1,0,0,0,0,0,0,0
66.565,0,0,0,0,0,0,0,0
66.685,1,0,0,0,0,0,0,0
66.695,0,0,0,0,0,0,0,0
66.822,1,0,0,0,0,0,0,0
66.832,0,0,0,0,0,0,0,0
66.947,1,0,0,0,0,0,0,0
66.957,0,0,0,0,0,0,0,0
67.076,1,1,0,0,0,0,0,0
67.086,0,0,0,0,0,0,0,0
67.218,1,0,0,0,0,0,0,0
67.228,0,0,0,0,0,0,0,0
67.32,1,0,0,0,0,0,0,0
67.33,0,0,0,0,0,0,0,0
67.471,1,0,0,0,0,0,0,0
67.481,0,0,0,0,0,0,0,0
67.63,1,1,0,0,0,0,0,0
67.64,0,0,0,0,0,0,0,0
67.79,1,0,0,0,0,0,0,0
67.8,0,0,0,0,0,0,0,0
67.943,1,0,0,0,0,0,0,0
67.953,0,0,0,0,0,0,0,0
68.142,1,0,0,0,0,0,0,0
68.152,0,0,0,0,0,0,0,0
68.264,1,0,0,0,0,0,0,0
68.274,0,0,0,0,0,0,0,0
68.434,1,1,0,0,0,0,0,0
68.444,0,0,0,0,0,0,0,0
68.645,1,0,0,0,0,0,0,0
68.655,0,0,0,0,0,0,0,0
68.765,1,0,0,0,0,0,0,0
68.775,0,0,0,0,0,0,0,0
68.931,1,0,0,0,0,0,0,0
68.941,0,0,0,0,0,0,0,0
69.088,1,1,0,0,0,0,0,0
69.098,0,0,0,0,0,0,0,0
69.263,1,0,0,0,0,0,0,0
69.273,0,0,0,0,0,0,0,0
69.44,1,0,0,0,0,0,0,0
69.45,0,0,0,0,0,0,0,0
69.645,1,0,0,0,0,0,0,0
69.655,0,0,0,0,0,0,0,0
70.024,1,1,0,0,0,0,0,0
70.034,0,0,0,0,0,0,0,0
71.254,1,0,0,0,0,0,0,0
71.264,0,0,0,0,0,0,0,0
71.701,1,0,0,0,0,0,0,0
71.711,0,0,0,0,0,0,0,0
71.855,1,0,0,0,0,0,0,0
71.865,0,0,0,0,0,0,0,0
71.983,1,0,0,0,0,0,0,0
71.993,0,0,0,0,0,0,0,0
72.128,1,1,0,0,0,0,0,0
72.138,0,0,0,0,0,0,0,0
72.229,1,0,0,0,0,0,0,0
72.239,0,0,0,0,0,0,0,0
72.397,1,0,0,0,0,0,0,0
72.407,0,0,0,0,0,0,0,0
72.534,1,0,0,0,0,0,0,0
72.544,0,0,0,0,0,0,0,0
72.742,1,1,0,0,0,0,0,0
72.752,0,0,0,0,0,0,0,0
73.435,1,0,0,0,0,0,0,0
73.445,0,0,0,0,0,0,0,0
73.548,1,0,0,0,0,0,0,0
73.558,0,0,0,0,0,0,0,0
74.554,1,0,0,0,0,0,0,0
74.564,0,0,0,0,0,0,0,0
74.708,1,0,0,0,0,0,0,0
74.718,0,0,0,0,0,0,0,0
74.852,1,1,0,0,0,0,0,0
74.862,0,0,0,0,0,0,0,0
75.122,1,0,0,0,0,0,0,0
75.132,0,0,0,0,0,0,0,0
75.603,1,0,0,0,0,0,0,0
75.613,0,0,0,0,0,0,0,0
75.782,1,0,0,0,0,0,0,0
75.792,0,0,0,0,0,0,0,0
75.921,1,1,0,0,0,0,0,0
75.931,0,0,0,0,0,0,0,0
76.049,1,0,0,0,0,0,0,0
76.059,0,0,0,0,0,0,0,0
76.191,1,0,0,0,0,0,0,0
76.201,0,0,0,0,0,0,0,0
76.34,1,0,0,0,0,0,0,0
76.35,0,0,0,0,0,0,0,0
76.487,1,0,0,0,0,0,0,0
76.497,0,0,0,0,0,0,0,0
76.638,1,1,0,0,0,0,0,0
76.648,0,0,0,0,0,0,0,0
76.742,1,0,0,0,0,0,0,0
76.752,0,0,0,0,0,0,0,0
76.971,1,0,0,0,0,0,0,0
76.981,0,0,0,0,0,0,0,0
77.363,1,0,0,0,0,0,0,0
77.373,0,0,0,0,0,0,0,0
77.518,1,0,0,0,0,0,0,0
77.528,0,0,0,0,0,0,0,0
77.659,1,0,0,0,0,0,0,0
77.669,0,0,0,0,0,0,0,0
77.828,1,0,0,0,0,0,1,0
77.838,0,0,0,0,0,0,0,0
77.988,1,0,0,0,0,0,1,0
77.998,0,0,0,0,0,0,0,0
78.159,1,0,0,0,0,0,1,0
78.169,0,0,0,0,0,0,0,0
78.322,1,0,0,0,0,0,1,0
78.332,0,0,0,0,0,0,0,0
78.49,1,0,0,0,0,0,1,0
78.5,0,0,0,0,0,0,0,0
78.656,1,0,0,0,0,0,1,0
78.666,0,0,0,0,0,0,0,0
78.817,1,0,0,0,0,0,1,0
78.827,0,0,0,0,0,0,0,0
78.95,1,0,0,0,0,0,1,0
78.96,0,0,0,0,0,0,0,0
79.098,1,0,0,0,0,0,1,0
79.108,0,0,0,0,0,0,0,0
79.278,1,0,0,0,0,0,1,0
79.288,0,0,0,0,0,0,0,0
79.451,1,0,0,0,0,0,0,0
79.461,0,0,0,0,0,0,0,0
79.614,1,0,0,0,0,0,0,0
79.624,0,0,0,0,0,0,0,0
79.885,1,0,0,0,0,0,0,0
79.895,0,0,0,0,0,0,0,0
80.288,1,0,0,0,0,0,0,0
80.298,0,0,0,0,0,0,0,0
80.466,1,0,0,0,0,0,0,0
80.476,0,0,0,0,0,0,0,0
80.572,1,1,0,0,0,0,0,0
80.582,0,0,0,0,0,0,0,0
80.88,1,0,0,0,0,0,0,0
80.89,0,0,0,0,0,0,0,0
81.014,1,0,0,0,0,0,0,0
81.024,0,0,0,0,0,0,0,0
81.182,1,0,0,0,0,0,0,0
81.192,0,0,0,0,0,0,0,0
81.297,1,0,0,0,0,0,0,0
81.307,0,0,0,0,0,0,0,0
81.544,1,0,0,0,0,0,0,0
81.554,0,0,0,0,0,0,0,0
83.279,1,1,0,0,0,0,0,0
83.289,0,0,0,0,0,0,0,0
83.405,1,0,0,0,0,0,0,0
83.415,0,0,0,0,0,0,0,0
83.553,1,0,0,0,0,0,0,0
83.563,0,0,0,0,0,0,0,0
83.714,1,0,0,0,0,0,0,0
83.724,0,0,0,0,0,0,0,0
87.838,1,0,0,0,0,0,0,0
87.848,0,0,0,0,0,0,0,0
87.96,1,0,0,0,0,0,0,0
87.97,0,0,0,0,0,0,0,0
274.576,1,1,0,0,0,0,0,0
274.586,0,0,0,0,0,0,0,0
274.692,1,0,0,0,0,0,0,0
274.702,0,0,0,0,0,0,0,0
274.826,1,0,0,0,0,0,0,0
274.836,0,0,0,0,0,0,0,0
274.966,1,0,0,0,0,0,0,0
274.976,0,0,0,0,0,0,0,0
275.127,1,1,0,0,0,0,0,0
275.137,0,0,0,0,0,0,0,0
275.275,1,0,0,0,0,0,0,0
275.285,0,0,0,0,0,0,0,0
562.87,1,0,0,0,0,0,0,0
562.88,0,0,0,0,0,0,0,0
563.023,1,0,0,0,0,0,0,0
563.033,0,0,0,0,0,0,0,0
711.833,1,0,0,0,0,0,0,0
711.843,0,0,0,0,0,0,0,0
711.952,1,0,0,0,0,0,0,0
711.962,0,0,0,0,0,0,0,0
712.12,1,1,0,0,0,0,0,0
712.13,0,0,0,0,0,0,0,0
712.41,1,0,0,0,0,0,0,0
712.42,0,0,0,0,0,0,0,0
713.195,1,0,0,0,0,0,0,0
713.205,0,0,0,0,0,0,0,0
714.175,1,0,0,0,0,0,0,0
714.185,0,0,0,0,0,0,0,0
714.277,1,0,0,0,0,0,0,0
714.287,0,0,0,0,0,0,0,0
714.412,1,1,0,0,0,0,0,0
714.422,0,0,0,0,0,0,0,0
714.566,1,0,0,0,0,0,0,0
714.576,0,0,0,0,0,0,0,0
714.682,1,0,0,0,0,0,0,0
714.692,0,0,0,0,0,0,0,0
714.822,1,0,0,0,0,0,0,0
714.832,0,0,0,0,0,0,0,0
714.935,1,0,0,0,0,0,0,0
714.945,0,0,0,0,0,0,0,0
715.094,1,1,0,0,0,0,0,0
715.104,0,0,0,0,0,0,0,0
715.714,1,0,0,0,0,0,0,0
715.724,0,0,0,0,0,0,0,0
715.859,1,0,0,0,0,0,0,0
715.869,0,0,0,0,0,0,0,0
715.986,1,0,0,0,0,0,0,0
715.996,0,0,0,0,0,0,0,0
716.123,1,0,0,0,0,0,0,0
716.133,0,0,0,0,0,0,0,0
716.275,1,1,0,0,0,0,0,0
716.285,0,0,0,0,0,0,0,0
716.403,1,0,0,0,0,0,0,0
716.413,0,0,0,0,0,0,0,0
716.543,1,0,0,0,0,0,0,0
716.553,0,0,0,0,0,0,0,0
716.691,1,0,0,0,0,0,0,0
716.701,0,0,0,0,0,0,0,0
716.856,1,1,0,0,0,0,0,0
716.866,0,0,0,0,0,0,0,0
716.987,1,0,0,0,0,0,0,0
716.997,0,0,0,0,0,0,0,0
717.133,1,0,0,0,0,0,0,0
717.143,0,0,0,0,0,0,0,0
717.236,1,0,0,0,0,0,0,0
717.246,0,0,0,0,0,0,0,0
717.378,1,0,0,0,0,0,0,0
717.388,0,0,0,0,0,0,0,0
717.583,1,0,0,0,0,0,0,0
717.593,0,0,0,0,0,0,0,0
717.746,1,1,0,0,0,0,0,0
717.756,0,0,0,0,0,0,0,0
717.953,1,0,0,0,0,0,0,0
717.963,0,0,0,0,0,0,0,0
718.099,1,0,0,0,0,0,0,0
718.109,0,0,0,0,0,0,0,0
718.21,1,0,0,0,0,0,0,0
718.22,0,0,0,0,0,0,0,0
718.378,1,0,1,0,0,0,0,0
718.388,0,0,0,0,0,0,0,0
718.532,1,0,1,0,0,0,0,0
718.542,0,0,0,0,0,0,0,0
718.748,1,0,1,0,0,0,0,0
718.758,0,0,0,0,0,0,0,0
718.901,1,0,1,0,0,0,0,0
718.911,0,0,0,0,0,0,0,0
719.064,1,0,1,0,0,0,0,0
719.074,0,0,0,0,0,0,0,0
719.216,1,0,1,0,0,0,0,0
719.226,0,0,0,0,0,0,0,0
719.369,1,0,1,0,0,0,0,0
719.379,0,0,0,0,0,0,0,0
719.477,1,0,1,0,0,0,0,0
719.487,0,0,0,0,0,0,0,0
719.662,1,0,1,0,0,0,0,0
719.672,0,0,0,0,0,0,0,0
719.817,1,0,1,0,0,0,0,0
719.827,0,0,0,0,0,0,0,0
719.974,1,0,0,0,0,0,0,0
719.984,0,0,0,0,0,0,0,0
720.155,1,0,0,0,0,0,0,0
720.165,0,0,0,0,0,0,0,0
720.308,1,0,0,0,0,0,0,0
720.318,0,0,0,0,0,0,0,0
720.546,1,1,0,0,0,0,0,0
720.556,0,0,0,0,0,0,0,0
720.65,1,0,0,0,0,0,0,0
720.66,0,0,0,0,0,0,0,0
720.812,1,0,0,0,0,0,0,0
720.822,0,0,0,0,0,0,0,0
721.055,1,0,0,0,0,0,0,0
721.065,0,0,0,0,0,0,0,0
721.162,1,0,0,0,0,0,0,0
721.172,0,0,0,0,0,0,0,0
721.366,1,1,0,0,0,0,0,0
721.376,0,0,0,0,0,0,0,0
721.514,1,0,0,0,0,0,0,0
721.524,0,0,0,0,0,0,0,0
721.642,1,0,0,0,0,0,0,0
721.652,0,0,0,0,0,0,0,0
721.788,1,0,0,0,0,0,0,0
721.798,0,0,0,0,0,0,0,0
721.934,1,0,0,0,0,0,0,0
721.944,0,0,0,0,0,0,0,0
722.1,1,1,0,0,0,0,0,0
722.11,0,0,0,0,0,0,0,0
722.251,1,0,0,0,0,0,0,0
722.261,0,0,0,0,0,0,0,0
722.396,1,0,0,0,0,0,0,0
722.406,0,0,0,0,0,0,0,0
722.553,1,0,0,0,0,0,0,0
722.563,0,0,0,0,0,0,0,0
722.7,1,1,0,0,0,0,0,0
722.71,0,0,0,0,0,0,0,0
722.874,1,0,0,0,0,0,0,0
722.884,0,0,0,0,0,0,0,0
723.036,1,0,0,0,0,0,0,0
723.046,0,0,0,0,0,0,0,0
723.189,1,0,0,0,0,0,0,0
723.199,0,0,0,0,0,0,0,0
723.348,1,0,0,0,0,0,0,0
723.358,0,0,0,0,0,0,0,0
723.475,1,0,0,0,0,0,0,0
723.485,0,0,0,0,0,0,0,0
723.628,1,1,0,0,0,0,0,0
723.638,0,0,0,0,0,0,0,0
723.841,1,0,0,0,0,0,0,0
723.851,0,0,0,0,0,0,0,0
724.23,1,0,0,0,0,0,0,0
724.24,0,0,0,0,0,0,0,0
724.374,1,0,0,0,0,0,0,0
724.384,0,0,0,0,0,0,0,0
724.526,1,0,0,0,0,0,0,0
724.536,0,0,0,0,0,0,0,0
724.691,1,1,0,0,0,0,0,0
724.701,0,0,0,0,0,0,0,0
724.854,1,0,0,0,0,0,0,0
724.864,0,0,0,0,0,0,0,0
725.014,1,0,0,0,0,0,0,0
725.024,0,0,0,0,0,0,0,0
725.159,1,0,0,0,0,0,0,0
725.169,0,0,0,0,0,0,0,0
725.34,1,0,0,0,0,0,0,0
725.35,0,0,0,0,0,0,0,0
725.5,1,0,0,0,0,0,0,0
725.51,0,0,0,0,0,0,0,0
725.61,1,1,0,0,0,0,0,0
725.62,0,0,0,0,0,0,0,0
725.851,1,0,0,0,0,0,0,0
725.861,0,0,0,0,0,0,0,0
725.954,1,0,0,0,0,0,0,0
725.964,0,0,0,0,0,0,0,0
726.108,1,0,0,0,0,0,0,0
726.118,0,0,0,0,0,0,0,0
726.364,1,1,0,0,0,0,0,0
726.374,0,0,0,0,0,0,0,0
726.465,1,0,0,0,0,0,0,0
726.475,0,0,0,0,0,0,0,0
726.627,1,0,0,0,0,0,0,0
726.637,0,0,0,0,0,0,0,0
726.841,1,0,0,0,0,0,0,0
726.851,0,0,0,0,0,0,0,0
726.999,1,0,0,0,0,0,0,0
727.009,0,0,0,0,0,0,0,0
727.139,1,0,0,0,0,0,0,0
727.149,0,0,0,0,0,0,0,0
727.342,1,1,0,0,0,0,0,0
727.352,0,0,0,0,0,0,0,0
727.545,1,0,0,0,0,0,0,0
727.555,0,0,0,0,0,0,0,0
727.692,1,0,0,0,0,0,0,0
727.702,0,0,0,0,0,0,0,0
727.847,1,0,0,0,0,0,0,0
727.857,0,0,0,0,0,0,0,0
727.999,1,0,0,0,0,0,0,0
728.009,0,0,0,0,0,0,0,0
728.146,1,0,0,0,0,0,0,0
728.156,0,0,0,0,0,0,0,0
728.307,1,1,0,0,0,0,0,0
728.317,0,0,0,0,0,0,0,0
728.46,1,0,0,0,0,0,0,0
728.47,0,0,0,0,0,0,0,0
728.617,1,0,0,0,0,0,0,0
728.627,0,0,0,0,0,0,0,0
728.766,1,0,0,0,0,0,0,0
728.776,0,0,0,0,0,0,0,0
728.924,1,0,0,0,0,1,0,0
728.934,0,0,0,0,0,0,0,0
729.562,1,0,0,0,0,1,0,0
729.572,0,0,0,0,0,0,0,0
729.688,1,0,0,0,0,1,0,0
729.698,0,0,0,0,0,0,0,0
729.825,1,0,0,0,0,1,0,0
729.835,0,0,0,0,0,0,0,0
729.95,1,0,0,0,0,1,0,0
729.96,0,0,0,0,0,0,0,0
730.084,1,0,0,0,0,1,0,0
730.094,0,0,0,0,0,0,0,0
730.231,1,0,0,0,0,1,0,0
730.241,0,0,0,0,0,0,0,0
730.362,1,0,0,0,0,1,0,0
730.372,0,0,0,0,0,0,0,0
730.49,1,0,0,0,0,1,0,0
730.5,0,0,0,0,0,0,0,0
730.636,1,0,0,0,0,1,0,0
730.646,0,0,0,0,0,0,0,0
730.773,1,0,0,0,0,0,0,0
730.783,0,0,0,0,0,0,0,0
730.924,1,0,0,0,0,0,0,0
730.934,0,0,0,0,0,0,0,0
731.174,1,0,0,0,0,0,0,0
731.184,0,0,0,0,0,0,0,0
731.291,1,1,0,0,0,0,0,0
731.301,0,0,0,0,0,0,0,0
731.445,1,0,0,0,0,0,0,0
731.455,0,0,0,0,0,0,0,0
731.585,1,0,0,0,0,0,0,0
731.595,0,0,0,0,0,0,0,0
731.719,1,0,0,0,0,0,0,0
731.729,0,0,0,0,0,0,0,0
731.858,1,0,0,0,0,0,0,0
731.868,0,0,0,0,0,0,0,0
731.983,1,1,0,0,0,0,0,0
731.993,0,0,0,0,0,0,0,0
732.146,1,0,0,0,0,0,0,0
732.156,0,0,0,0,0,0,0,0
732.292,1,0,0,0,0,0,0,0
732.302,0,0,0,0,0,0,0,0
732.436,1,0,0,0,0,0,0,0
732.446,0,0,0,0,0,0,0,0
732.571,1,1,0,0,0,0,0,0
732.581,0,0,0,0,0,0,0,0
732.727,1,0,0,0,0,0,0,0
732.737,0,0,0,0,0,0,0,0
732.872,1,0,0,0,0,0,0,0
732.882,0,0,0,0,0,0,0,0
733.014,1,0,0,0,0,0,0,0
733.024,0,0,0,0,0,0,0,0
733.167,1,0,0,0,0,0,0,0
733.177,0,0,0,0,0,0,0,0
733.351,1,1,0,0,0,0,0,0
733.361,0,0,0,0,0,0,0,0
733.471,1,0,0,0,0,0,0,0
733.481,0,0,0,0,0,0,0,0
733.733,1,0,0,0,0,0,0,0
733.743,0,0,0,0,0,0,0,0
733.86,1,0,0,0,0,0,0,0
733.87,0,0,0,0,0,0,0,0
734.03,1,0,0,0,0,0,0,0
734.04,0,0,0,0,0,0,0,0
734.178,1,0,0,0,0,0,0,0
734.188,0,0,0,0,0,0,0,0
734.328,1,1,0,0,0,0,0,0
734.338,0,0,0,0,0,0,0,0
734.478,1,0,0,0,0,0,0,0
734.488,0,0,0,0,0,0,0,0
734.632,1,0,0,0,0,0,0,0
734.642,0,0,0,0,0,0,0,0
734.79,1,0,0,0,0,0,0,0
734.8,0,0,0,0,0,0,0,0
734.951,1,0,0,0,0,0,0,0
734.961,0,0,0,0,0,0,0,0
735.125,1,1,0,0,0,0,0,0
735.135,0,0,0,0,0,0,0,0
735.237,1,0,0,0,0,0,0,0
735.247,0,0,0,0,0,0,0,0
735.393,1,0,0,0,0,0,0,0
735.403,0,0,0,0,0,0,0,0
735.558,1,0,0,0,0,0,0,0
735.568,0,0,0,0,0,0,0,0
735.771,1,1,0,0,0,0,0,0
735.781,0,0,0,0,0,0,0,0
735.933,1,0,0,0,0,0,0,0
735.943,0,0,0,0,0,0,0,0
736.046,1,0,0,0,0,0,0,0
736.056,0,0,0,0,0,0,0,0
736.274,1,0,0,0,0,0,0,0
736.284,0,0,0,0,0,0,0,0
736.436,1,0,0,0,0,0,0,0
736.446,0,0,0,0,0,0,0,0
736.836,1,0,0,0,0,0,0,0
736.846,0,0,0,0,0,0,0,0
736.985,1,1,0,0,0,0,0,0
736.995,0,0,0,0,0,0,0,0
737.143,1,0,0,0,0,0,0,0
737.153,0,0,0,0,0,0,0,0
737.309,1,0,0,0,0,0,0,0
737.319,0,0,0,0,0,0,0,0
737.462,1,0,0,0,0,0,0,0
737.472,0,0,0,0,0,0,0,0
737.627,1,0,0,0,0,0,0,0
737.637,0,0,0,0,0,0,0,0
